activation,alpha,hidden_layer_sizes,early_stopping,solver,learning_rate_init,Max_iter,Test Accuracy,Precision,Recall,F1-score
logistic,1e-05,"(15, 7)",True,lbfgs,0.001,200,0.9420967451897141,0.9460545699100893,0.9384943964628983,0.9418687069270345
logistic,1e-05,"(15, 7)",True,lbfgs,0.01,200,0.9420967451897141,0.9460545699100893,0.9384943964628983,0.9418687069270345
logistic,1e-05,"(20, 7)",True,lbfgs,0.01,200,0.930588023736738,0.9306600537562991,0.9283641129911536,0.9292122285558578
relu,1e-05,"(20, 7)",True,lbfgs,0.01,300,0.9278906671461967,0.9279053568290654,0.9290023141574142,0.9280955189487037
relu,1e-05,"(15, 7)",True,lbfgs,0.001,300,0.920517892465384,0.922049109379425,0.9171757127042865,0.9189859203792511
relu,1e-05,"(6, 3)",True,lbfgs,0.0001,200,0.9165617694659234,0.9192240556142383,0.9180699785369917,0.9183638397005232
relu,1e-05,"(100, 50)",True,lbfgs,0.0001,200,0.9408379787807948,0.9435763983556196,0.9380632852392214,0.9405317515421879
relu,1e-05,"(50, 7)",True,lbfgs,0.0001,200,0.9151231792843014,0.9199544914037121,0.9094189354669874,0.9139406659716309
relu,1e-05,"(50, 7)",True,lbfgs,0.0001,200,0.9151231792843014,0.9199544914037121,0.9094189354669874,0.9139406659716309
relu,1e-05,"(100, 60)",True,lbfgs,0.001,200,0.9388599172810645,0.9423294013950814,0.9349610901017491,0.9383477224014922
